id	species	size	synonyms	symbols	descriptions
1390520	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU24780	yqgY	hypothetical protein
1390521	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU24790	yqgX	metal-binding hydrolase
1390522	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU24800	yqgW	hypothetical protein
1390523	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU24830	yqgT	gamma-D-glutamyl-L-diamino acid endopeptidase
1390524	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU24880	yqgO	hypothetical protein
1390525	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU24890	yqgN	5-formyltetrahydrofolate cyclo-ligase
1390526	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25000	pbpA	transpeptidase (penicillin-binding protein 2A)
1390527	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25030	yqgC	integral inner membrane protein
1390528	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25060	yqfZ	factor involved in motility
1390529	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25070	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
1390530	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25080	yqfX	hypothetical protein
1390531	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25090	yqfW	nucleotidase
1390532	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25120	yqfT	hypothetical protein
1390533	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25150	yqfQ	hypothetical protein
1390534	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25190	cccA	cytochrome c550
1390535	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25560	holA	DNA polymerase III subunit delta
1390536	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25600	comER	late competence protein ComER
1390537	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25700	yqeF	lipoprotein
1390538	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25710	cwlH	N-acetylmuramoyl-L-alanine amidase
1390539	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25720	yqeD	hypothetical protein
1390540	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25730	yqeC	6-phosphogluconate dehydrogenase-like protein
1390541	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25750	nucB	nuclease
1390542	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25810	arsR	ArsR family transcriptional regulator
1390543	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25850	yqzI	hypothetical protein
1390544	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25900	cwlA	N-acetylmuramoyl-L-alanine amidase
1390545	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25910	yqxH	holin; skin element
1390546	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU25920	yqxG	phage-related lytic exoenzyme; skin element
1390547	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26050	yqdB	hypothetical protein
1390548	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26210	yqaR	hypothetical protein
1390549	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26220	yqaQ	hypothetical protein
1390550	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26230	yqaP	hypothetical protein
1390551	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26240	yqaO	hypothetical protein
1390552	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26250	yqaN	Holliday junction resolvase; skin element
1390553	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26300	yqaI	hypothetical protein
1390554	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26350	yqaE	Xre family transcriptional regulator
1390555	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26360	yqaD	hypothetical protein
1390556	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26370	yqaC	hypothetical protein
1390557	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26380	yqaB	hypothetical protein
1390558	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26400	yrkS	hypothetical protein
1390559	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26440	yrkO	integral inner membrane protein
1390560	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26450	yrkN	N-acetyltransferase
1390561	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26530	yrkF	rhodanese-related sulfur transferase
1390562	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26540	yrkE	hypothetical protein
1390563	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26550	yrkD	hypothetical protein
1390564	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26560	yrkC	dioxygenase; cupin family
1390565	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26570	yrkB	hypothetical protein
1390566	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26580	bltR	transcriptional regulator
1390567	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26590	blt	efflux transporter
1390568	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26600	bltD	spermine/spermidine acetyltransferase
1390569	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26610	yrkA	membrane associated protein
1390570	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26630	yrdQ	LysR family transcriptional regulator
1390571	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26640	yrdP	oxidoreductase
1390572	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26650	czcD	potassium/proton-divalent cation antiporter
1390573	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26660	yrdN	tautomerase
1390574	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26730	yrdF	ribonuclease inhibitor
1390575	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26740	cypA	cytochrome P450
1390576	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26760	yrdC	hydrolase
1390577	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26770	yrdB	integral inner membrane protein
1390578	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26780	yrdA	hypothetical protein
1390579	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26790	aadK	aminoglycoside 6-adenylyltransferase
1390580	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26800	yrpB	anionic nitroalkane dioxygenase
1390581	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26810	yrpC	glutamate racemase
1390582	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26820	yrpD	lipoprotein
1390583	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26830	yrpE	lipoprotein
1390584	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26840	sigZ	RNA polymerase sigma factor SigZ
1390585	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26860	yraO	citrate transporter
1390586	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26870	yraN	LysR family transcriptional regulator
1390587	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26890	csn	chitosanase
1390588	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26900	yraL	hypothetical protein
1390589	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU26940	yraH	lyase
1390590	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27030	sacC	levanase
1390591	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27100	yrhP	efflux transporter
1390592	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27110	yrhO	transcriptional regulator
1390593	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27140	oatA	peptidoglycan O-acetyltransferase
1390594	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27150	yrhK	hypothetical protein
1390595	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27180	yrhH	methyltransferase
1390596	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27190	yrzI	hypothetical protein
1390597	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27200	yrhG	formate/nitrite transporter
1390598	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27210	yrhF	hypothetical protein
1390599	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27240	yrhC	hypothetical protein
1390600	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27290	yrzA	hypothetical protein
1390601	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27370	yrrL	hypothetical protein
1390602	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27420	yrrI	permease
1390603	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27530	yrvN	recombination factor protein RarA
1390604	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27570	yrzK	hypothetical protein
1390605	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27580	yrvJ	N-acetylmuramoyl-L-alanine amidase, family 3
1390606	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27630	yrvD	hypothetical protein
1390607	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27640	yrvC	potassium transport accessory component
1390608	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27670	spoVB	translocase
1390609	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27680	yrbG	hypothetical protein
1390610	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27690	yrzE	integral inner membrane protein
1390611	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27770	yrbE	oxidoreductase
1390612	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27820	yrbC	hypothetical protein
1390613	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU27840	safA	morphogenetic protein associated with SpoVID
1390614	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28060	spoIIB	spatial and temporal regulator
1390615	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28210	lonB	LonB ATP-dependent protease
1390616	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28230	tig	trigger factor
1390617	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28320	ysnD	hypothetical protein
1390618	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28330	ysnE	acetyltransferase
1390619	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28380	gerM	germination and sporulation lytic protein
1390620	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28460	yslB	hypothetical protein
1390621	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28470	lysC	aspartate kinase
1390622	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28500	trxA	thioredoxin
1390623	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28560	lcfA	long chain acyl-CoA ligase
1390624	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28620	rnhC	ribonuclease HIII
1390625	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28650	ysgA	RNA methylase
1390626	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28660	sspI	small acid-soluble spore protein SspI
1390627	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28700	ysfE	hypothetical protein
1390628	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28820	ysdC	endo-1,4-beta-glucanase
1390629	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28830	ysdB	hypothetical protein
1390630	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28840	ysdA	hypothetical protein
1390631	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU28950	thrS	threonyl-tRNA synthetase
1390632	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29000	nrdR	transcriptional regulator NrdR
1390633	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29020	gapB	glyceraldehyde-3-phosphate dehydrogenase
1390634	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29030	ytcD	MarD family transcriptional regulator
1390635	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29140	citZ	citrate synthase
1390636	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29150	ytwI	integral inner membrane protein
1390637	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29160	ytvI	permease
1390638	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29170	fxsA	FxsA
1390639	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29220	ytsJ	NADP-dependent malic enzyme
1390640	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29230	dnaE	DNA polymerase III DnaE
1390641	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29250	nrnA	oligoribonuclease (nanoRNAse), 3',5'-bisphosphate nucleotidase
1390642	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29260	ytpI	hypothetical protein
1390643	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29270	ytoI	hypothetical protein
1390644	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29400	ytlI	LysR family transcriptional regulator
1390645	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29420	fabG	3-ketoacyl-ACP reductase
1390646	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29460	moaB	molybdopterin GTP-binding precursor Z biosynthesis component
1390647	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29470	ackA	acetate kinase
1390648	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29540	ppnK	inorganic polyphosphate/ATP-NAD kinase
1390649	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29570	sspA	small acid-soluble spore protein
1390650	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29600	braB	branched-chain amino acid-Na+ symporter
1390651	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29610	ezrA	septation ring formation regulator EzrA
1390652	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29620	hisJ	histidinol-phosphatase
1390653	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29630	yttP	transcriptional regulator
1390654	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29650	ytrP	diguanylate cyclase-related enzyme
1390655	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29660	rpsD	30S ribosomal protein S4
1390656	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29670	tyrS	tyrosyl-tRNA synthetase
1390657	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29750	aroA	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase
1390658	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29790	murC	UDP-N-acetylmuramate--L-alanine ligase
1390659	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29850	ytoQ	hypothetical protein
1390660	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29860	ytoP	glutamyl aminopeptidase
1390661	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29870	ytzB	hypothetical protein
1390662	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29880	malS	malate dehydrogenase
1390663	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29890	ytnP	metal-dependent hydrolase
1390664	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29900	trmB	tRNA (guanine-N(7)-)-methyltransferase
1390665	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29910	ytzH	hypothetical protein
1390666	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29970	ytkP	cysteine synthase-like protein
1390667	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29980	ytjP	dipeptidase PepV
1390668	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU29990	pbuO	hypoxanthine/guanine permease
1390669	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30020	ytzE	DeoR family transcriptional regulator
1390670	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30070	opuD	glycine betaine transporter
1390671	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30080	yteV	hypothetical protein
1390672	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30150	ytdP	membrane bound transcriptional regulator (AraC/XylS family)
1390673	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30190	bioI	cytochrome P450
1390674	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30250	ytaP	hydrolase
1390675	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30320	leuS	leucyl-tRNA synthetase
1390676	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30340	ytvA	blue light GTP-binding receptor
1390677	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30350	yttB	efflux transporter
1390678	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30470	ytzC	hypothetical protein
1390679	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30520	ytoA	hypothetical protein
1390680	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30530	ytnA	amino acid permease
1390681	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30540	asnB	asparagine synthetase
1390682	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30550	metK	S-adenosylmethionine synthetase
1390683	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30630	ytkD	nucleoside triphosphate phosphohydrolase
1390684	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30640	ytkC	autolytic amidase
1390685	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30650	dps	DNA-protecting protein, ferritin
1390686	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30660	ytkA	lipoprotein
1390687	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30670	luxS	S-ribosylhomocysteinase
1390688	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30680	ytjA	hypothetical protein
1390689	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30690	ytiB	carbonic anhydrase
1390690	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30700	rpmE2	50S ribosomal protein L31
1390691	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30850	ytdA	UTP-glucose-1-phosphate uridylyltransferase
1390692	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30920	cotI	spore coat protein
1390693	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30930	ytaB	receptor
1390694	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU30990	thiT	thiamin permease
1390695	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31030	yuaE	hypothetical protein
1390696	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31040	yuaD	hypothetical protein
1390697	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31070	yuaC	transcriptional regulator
1390698	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31080	yuaB	hypothetical protein
1390699	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31110	yubF	hypothetical protein
1390700	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31120	lytG	exoglucosaminidase
1390701	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31130	yubD	efflux transporter
1390702	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31140	cdoA	cysteine dioxygenase
1390703	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31170	yulF	biofilm formation protein
1390704	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31230	tlpB	methyl-accepting chemotaxis protein
1390705	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31250	tlpA	methyl-accepting chemotaxis protein
1390706	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31270	tgl	transglutaminase
1390707	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31360	yugK	NADH-dependent butanol dehydrogenase
1390708	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31370	yugJ	NADH-dependent butanol dehydrogenase
1390709	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31380	yuzA	hypothetical protein
1390710	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31390	yugI	general stress protein 13
1390711	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31420	yugF	hydrolase
1390712	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31440	patB	C-S lyase
1390713	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31470	kapD	sporulation inhibitor KapD
1390714	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31580	maeN	Na+/malate symporter
1390715	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31590	yufS	bacteriocin
1390716	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31720	degQ	pleiotropic regulator
1390717	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31740	yuxH	phosphodiesterase
1390718	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31810	yuzE	hypothetical protein
1390719	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31820	yuzF	hypothetical protein
1390720	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31830	yueE	metal-dependent phosphohydrolase
1390721	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU31930	ald	L-alanine dehydrogenase
1390722	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32020	yuiH	sulfite oxidase
1390723	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32030	bioYB	biotin transporter
1390724	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32040	yuiF	amino acid transporter
1390725	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32050	yuiE	leucyl aminopeptidase
1390726	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32060	yuiD	integral inner membrane protein
1390727	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32070	yuiC	hypothetical protein
1390728	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32080	yuiB	hypothetical protein
1390729	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32090	yuiA	hypothetical protein
1390730	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32100	yumB	NAD-disulfide oxidoreductase
1390731	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32120	yuzG	hypothetical protein
1390732	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32160	yutM	chaperone involved in Fe-S cluster assembly
1390733	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32170	dapF	diaminopimelate epimerase
1390734	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32180	yutK	Na+(H+)/nucleoside cotransporter
1390735	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32190	yuzB	hypothetical protein
1390736	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32210	yuzD	sulfur oxido-reduction management enzyme
1390737	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32220	yutI	iron-sulfur scaffold protein
1390738	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32270	yutH	spore coat-associated protein
1390739	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32280	yutG	phosphatidylglycerophosphatase A
1390740	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32320	yutC	lipoprotein
1390741	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32410	pucH	allantoinase
1390742	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32420	pucR	transcriptional regulator of the purine degradation operon
1390743	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32540	bsn	extracellular ribonuclease
1390744	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32550	yurJ	multiple sugar ABC transporter ATP-binding protein
1390745	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32610	frlB	fructoselysine-6-P-deglycase
1390746	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32620	yurQ	excinuclease
1390747	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32630	yurR	oxidoreductase
1390748	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32660	yurT	methylglyoxalase
1390749	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32720	yurZ	hypothetical protein
1390750	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32760	yusD	hypothetical protein
1390751	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32850	fadM	oxidoreductase involved in fatty acids degradation
1390752	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32920	yusT	LysR family transcriptional regulator
1390753	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32950	yusW	lipoprotein
1390754	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32980	yusZ	short chain dehydrogenase
1390755	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU32990	mrgA	metalloregulation DNA-binding stress protein
1390756	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33030	yuxN	transcriptional regulator
1390757	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33040	fumC	fumarate hydratase
1390758	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33140	yvqJ	efflux protein
1390759	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33190	yvrD	oxidoreductase
1390760	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33200	yvrE	hypothetical protein
1390761	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33320	fhuD	ferrichrome ABC transporter ferrichrome-binding lipoprotein
1390762	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33330	lysP	lysine permease
1390763	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33350	yvsG	membrane hydrolase
1390764	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33360	yvgJ	exported enzyme and transporter
1390765	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU33370	yvgK	molybdate binding regulator
